Date,Price,Open,High,Low,Change %
30-Apr-20,"1,685.05","1,712.27","1,723.17","1,680.64",-1.60%
29-Apr-20,"1,712.39","1,708.30","1,717.76","1,697.55",0.22%
28-Apr-20,"1,708.64","1,715.31","1,716.04","1,691.63",-0.40%
27-Apr-20,"1,715.57","1,726.15","1,727.93","1,705.68",-0.80%
24-Apr-20,"1,729.43","1,731.57","1,737.44","1,710.21",-0.12%
23-Apr-20,"1,731.58","1,713.56","1,739.74","1,706.26",0.98%
22-Apr-20,"1,714.82","1,687.10","1,719.65","1,680.09",1.65%
21-Apr-20,"1,687.02","1,694.11","1,698.60","1,661.39",-0.42%
20-Apr-20,"1,694.11","1,692.25","1,703.46","1,671.49",0.56%
17-Apr-20,"1,684.69","1,715.99","1,719.12","1,679.37",-1.96%
16-Apr-20,"1,718.40","1,716.46","1,739.17","1,707.88",0.11%
15-Apr-20,"1,716.60","1,728.80","1,732.27","1,707.71",-0.76%
14-Apr-20,"1,729.70","1,712.34","1,747.85","1,708.55",0.90%
13-Apr-20,"1,714.32","1,685.69","1,723.88","1,674.87",1.45%
10-Apr-20,"1,689.90","1,676.00","1,697.50","1,676.00",0.35%
9-Apr-20,"1,684.07","1,646.08","1,691.17","1,643.10",2.28%
8-Apr-20,"1,646.52","1,647.59","1,657.69","1,641.94",-0.15%
7-Apr-20,"1,648.95","1,663.03","1,673.55","1,641.89",-0.85%
6-Apr-20,"1,663.00","1,597.50","1,669.97","1,597.50",2.75%
3-Apr-20,"1,618.45","1,615.09","1,626.07","1,606.30",0.29%
2-Apr-20,"1,613.79","1,590.52","1,621.15","1,579.04",1.18%
1-Apr-20,"1,595.05","1,571.00","1,603.41","1,566.97",1.51%
31-Mar-20,"1,571.31","1,618.49","1,626.27","1,566.23",-3.20%
30-Mar-20,"1,623.30","1,622.00","1,639.61","1,608.72",-0.01%
27-Mar-20,"1,623.50","1,632.38","1,637.86","1,612.22",-0.54%
26-Mar-20,"1,632.39","1,617.25","1,647.28","1,595.84",1.15%
25-Mar-20,"1,613.79","1,628.19","1,643.05","1,587.20",-0.51%
24-Mar-20,"1,622.03","1,553.71","1,638.72","1,553.41",4.39%
23-Mar-20,"1,553.81","1,508.15","1,561.48","1,485.10",3.71%
20-Mar-20,"1,498.24","1,470.54","1,516.25","1,460.30",1.85%
19-Mar-20,"1,471.00","1,485.90","1,501.05","1,464.18",-1.03%
18-Mar-20,"1,486.30","1,527.70","1,546.22","1,472.86",-2.77%
17-Mar-20,"1,528.57","1,512.45","1,553.26","1,465.81",0.92%
16-Mar-20,"1,514.61","1,550.55","1,573.49","1,451.50",-0.99%
13-Mar-20,"1,529.70","1,576.95","1,597.72","1,506.86",-3.00%
12-Mar-20,"1,577.08","1,634.80","1,650.47","1,561.01",-3.54%
11-Mar-20,"1,635.03","1,649.69","1,671.13","1,632.97",-0.87%
10-Mar-20,"1,649.36","1,679.10","1,680.53","1,642.15",-1.84%
9-Mar-20,"1,680.20","1,694.40","1,702.96","1,657.74",0.36%
6-Mar-20,"1,674.23","1,670.58","1,692.10","1,648.12",0.22%
5-Mar-20,"1,670.61","1,635.91","1,674.69","1,635.07",2.13%
4-Mar-20,"1,635.83","1,639.76","1,651.65","1,632.06",-0.24%
3-Mar-20,"1,639.77","1,590.77","1,649.55","1,587.86",3.08%
2-Mar-20,"1,590.73","1,591.10","1,611.03","1,579.70",0.35%
28-Feb-20,"1,585.13","1,642.15","1,649.48","1,565.86",-3.48%
27-Feb-20,"1,642.35","1,640.55","1,660.57","1,635.65",0.15%
26-Feb-20,"1,639.96","1,635.37","1,655.09","1,625.79",0.28%
25-Feb-20,"1,635.38","1,660.72","1,660.86","1,629.10",-1.53%
24-Feb-20,"1,660.72","1,659.05","1,689.11","1,652.37",1.04%
21-Feb-20,"1,643.70","1,619.69","1,649.15","1,618.94",1.48%
20-Feb-20,"1,619.70","1,611.71","1,623.79","1,603.98",0.50%
19-Feb-20,"1,611.64","1,601.85","1,613.04","1,599.53",0.61%
18-Feb-20,"1,601.92","1,583.44","1,605.45","1,583.09",1.32%
17-Feb-20,"1,581.10","1,584.70","1,584.81","1,578.60",-0.23%
14-Feb-20,"1,584.70","1,576.30","1,585.05","1,573.12",0.53%
13-Feb-20,"1,576.39","1,565.62","1,578.24","1,565.53",0.69%
12-Feb-20,"1,565.63","1,567.73","1,570.59","1,561.80",-0.13%
11-Feb-20,"1,567.71","1,572.09","1,574.17","1,562.29",-0.29%
10-Feb-20,"1,572.30","1,570.29","1,577.23","1,568.01",0.13%
7-Feb-20,"1,570.29","1,566.86","1,574.18","1,562.39",0.22%
6-Feb-20,"1,566.85","1,556.95","1,568.55","1,552.46",0.65%
5-Feb-20,"1,556.70","1,552.56","1,562.50","1,547.40",0.27%
4-Feb-20,"1,552.56","1,576.40","1,579.57","1,549.14",-1.52%
3-Feb-20,"1,576.45","1,590.20","1,591.84","1,571.29",-0.86%
31-Jan-20,"1,590.20","1,574.18","1,590.21","1,570.84",1.02%
30-Jan-20,"1,574.21","1,577.09","1,586.16","1,572.65",-0.18%
29-Jan-20,"1,577.12","1,566.19","1,578.04","1,563.21",0.69%
28-Jan-20,"1,566.24","1,581.95","1,583.27","1,565.65",-0.99%
27-Jan-20,"1,581.94","1,580.10","1,586.81","1,575.81",0.72%
24-Jan-20,"1,570.65","1,563.30","1,576.01","1,556.42",0.47%
23-Jan-20,"1,563.32","1,558.93","1,568.17","1,551.68",0.28%
22-Jan-20,"1,558.92","1,558.03","1,559.63","1,550.08",0.06%
21-Jan-20,"1,558.02","1,560.94","1,568.75","1,546.41",-0.23%
20-Jan-20,"1,561.58","1,558.65","1,563.00","1,556.39",0.32%
17-Jan-20,"1,556.61","1,552.90","1,561.45","1,549.36",0.25%
16-Jan-20,"1,552.79","1,556.18","1,558.19","1,548.05",-0.22%
15-Jan-20,"1,556.19","1,546.40","1,558.44","1,546.11",0.63%
14-Jan-20,"1,546.37","1,548.31","1,548.95","1,536.12",-0.12%
13-Jan-20,"1,548.30","1,562.29","1,562.30","1,546.77",-0.89%
10-Jan-20,"1,562.28","1,552.40","1,563.27","1,545.52",0.64%
9-Jan-20,"1,552.37","1,555.76","1,561.67","1,540.18",-0.22%
8-Jan-20,"1,555.81","1,573.99","1,611.15","1,552.23",-1.15%
7-Jan-20,"1,573.99","1,565.93","1,577.53","1,555.29",0.51%
6-Jan-20,"1,565.96","1,561.15","1,583.44","1,560.90",0.92%
3-Jan-20,"1,551.65","1,528.95","1,553.70","1,528.00",1.49%
2-Jan-20,"1,528.94","1,517.24","1,531.55","1,517.22",0.77%
1-Jan-20,"1,517.30","1,517.24","1,517.48","1,517.19",-0.01%
31-Dec-19,"1,517.40","1,515.22","1,525.45","1,514.66",0.14%
30-Dec-19,"1,515.22","1,511.80","1,516.54","1,510.43",0.30%
27-Dec-19,"1,510.67","1,511.55","1,515.47","1,507.05",-0.06%
26-Dec-19,"1,511.55","1,499.42","1,512.77","1,497.66",0.80%
25-Dec-19,"1,499.55","1,499.55","1,499.55","1,499.55",0.00%
24-Dec-19,"1,499.56","1,485.57","1,500.77","1,484.41",0.95%
23-Dec-19,"1,485.52","1,478.20","1,486.29","1,477.51",0.50%
20-Dec-19,"1,478.20","1,479.14","1,481.26","1,475.70",-0.06%
19-Dec-19,"1,479.15","1,475.44","1,481.97","1,473.01",0.25%
18-Dec-19,"1,475.44","1,476.45","1,479.67","1,470.32",-0.07%
17-Dec-19,"1,476.45","1,476.25","1,480.78","1,474.23",0.01%
16-Dec-19,"1,476.25","1,475.60","1,480.03","1,472.99",0.03%
13-Dec-19,"1,475.81","1,469.47","1,478.22","1,462.48",0.43%
