Date,Price,Open,High,Low,Change %
2-Jul-19,"1,418.44","1,383.55","1,419.80","1,383.55",2.47%
1-Jul-19,"1,384.31","1,392.83","1,397.69","1,381.84",-1.79%
28-Jun-19,"1,409.50","1,409.56","1,424.67","1,406.64",-0.01%
27-Jun-19,"1,409.68","1,409.55","1,411.94","1,400.23",0.07%
26-Jun-19,"1,408.75","1,423.90","1,424.03","1,402.37",-1.02%
25-Jun-19,"1,423.25","1,419.17","1,438.99","1,412.30",0.26%
24-Jun-19,"1,419.55","1,401.35","1,421.20","1,400.33",1.47%
21-Jun-19,"1,399.05","1,388.22","1,411.08","1,382.44",0.78%
20-Jun-19,"1,388.18","1,360.34","1,393.30","1,357.66",2.05%
19-Jun-19,"1,360.27","1,346.55","1,362.50","1,341.19",1.02%
18-Jun-19,"1,346.48","1,340.30","1,354.68","1,338.54",0.52%
17-Jun-19,"1,339.54","1,342.05","1,343.53","1,332.83",-0.15%
14-Jun-19,"1,341.58","1,341.70","1,358.40","1,337.88",-0.06%
13-Jun-19,"1,342.35","1,334.00","1,343.41","1,332.22",0.66%
12-Jun-19,"1,333.55","1,327.05","1,338.58","1,326.04",0.50%
11-Jun-19,"1,326.91","1,328.40","1,330.22","1,319.74",-0.09%
10-Jun-19,"1,328.13","1,335.94","1,337.77","1,324.90",-0.94%
7-Jun-19,"1,340.70","1,335.45","1,348.45","1,330.08",0.39%
6-Jun-19,"1,335.55","1,331.99","1,340.09","1,327.26",0.40%
5-Jun-19,"1,330.18","1,325.50","1,344.24","1,324.53",0.37%
4-Jun-19,"1,325.28","1,325.05","1,329.41","1,319.90",0.01%
3-Jun-19,"1,325.17","1,307.40","1,328.34","1,306.62",1.50%
31-May-19,"1,305.65","1,288.35","1,307.11","1,288.00",1.30%
30-May-19,"1,288.85","1,279.74","1,289.24","1,274.82",0.72%
29-May-19,"1,279.60","1,279.56","1,285.79","1,278.88",0.01%
28-May-19,"1,279.49","1,285.55","1,286.75","1,276.01",-0.44%
27-May-19,"1,285.20","1,285.80","1,287.69","1,283.68",0.02%
24-May-19,"1,284.90","1,283.55","1,285.59","1,280.59",0.11%
23-May-19,"1,283.45","1,273.80","1,287.62","1,272.61",0.77%
22-May-19,"1,273.61","1,274.74","1,277.59","1,272.28",-0.11%
21-May-19,"1,274.97","1,278.10","1,278.16","1,269.34",-0.22%
20-May-19,"1,277.74","1,277.80","1,279.32","1,273.60",0.02%
17-May-19,"1,277.55","1,286.50","1,289.24","1,274.91",-0.71%
16-May-19,"1,286.65","1,296.90","1,299.06","1,284.06",-0.77%
15-May-19,"1,296.67","1,297.17","1,301.18","1,292.85",-0.03%
14-May-19,"1,297.03","1,300.24","1,303.47","1,293.52",-0.22%
13-May-19,"1,299.91","1,286.71","1,301.50","1,281.77",1.08%
10-May-19,"1,286.00","1,284.34","1,289.60","1,283.10",0.14%
9-May-19,"1,284.14","1,280.74","1,288.57","1,279.43",0.25%
8-May-19,"1,280.93","1,284.15","1,291.73","1,279.37",-0.33%
7-May-19,"1,285.15","1,281.10","1,286.37","1,278.04",0.38%
6-May-19,"1,280.32","1,281.19","1,285.90","1,276.85",0.09%
3-May-19,"1,279.19","1,270.74","1,282.84","1,268.90",0.68%
2-May-19,"1,270.54","1,276.94","1,278.18","1,266.18",-0.48%
1-May-19,"1,276.60","1,283.59","1,287.38","1,273.16",-0.54%
30-Apr-19,"1,283.60","1,279.98","1,286.58","1,279.69",0.30%
29-Apr-19,"1,279.80","1,286.55","1,287.00","1,277.97",-0.50%
26-Apr-19,"1,286.25","1,277.27","1,289.01","1,276.05",0.70%
25-Apr-19,"1,277.35","1,275.60","1,282.81","1,273.35",0.16%
24-Apr-19,"1,275.36","1,272.30","1,278.79","1,268.58",0.23%
23-Apr-19,"1,272.40","1,275.40","1,276.83","1,266.25",-0.20%
22-Apr-19,"1,274.93","1,275.83","1,280.14","1,273.66",-0.04%
18-Apr-19,"1,275.40","1,273.49","1,277.97","1,271.07",0.10%
17-Apr-19,"1,274.14","1,276.84","1,280.01","1,272.94",-0.19%
16-Apr-19,"1,276.57","1,287.90","1,288.85","1,272.94",-0.88%
15-Apr-19,"1,287.89","1,290.60","1,292.08","1,282.37",-0.19%
12-Apr-19,"1,290.40","1,292.30","1,296.10","1,290.09",-0.17%
11-Apr-19,"1,292.59","1,308.10","1,309.37","1,289.66",-1.18%
10-Apr-19,"1,308.05","1,304.09","1,310.96","1,301.06",0.30%
9-Apr-19,"1,304.14","1,297.65","1,306.50","1,296.57",0.52%
8-Apr-19,"1,297.42","1,291.80","1,303.97","1,291.39",0.44%
5-Apr-19,"1,291.70","1,292.44","1,293.69","1,284.44",-0.05%
4-Apr-19,"1,292.38","1,290.10","1,294.55","1,280.91",0.19%
3-Apr-19,"1,289.91","1,292.34","1,294.81","1,288.34",-0.25%
2-Apr-19,"1,293.15","1,287.55","1,293.15","1,285.17",0.43%
1-Apr-19,"1,287.67","1,291.48","1,297.23","1,286.64",-0.35%
29-Mar-19,"1,292.15","1,290.59","1,300.01","1,286.77",0.12%
28-Mar-19,"1,290.55","1,309.85","1,312.48","1,288.58",-1.47%
27-Mar-19,"1,309.86","1,315.61","1,319.60","1,308.03",-0.43%
26-Mar-19,"1,315.52","1,321.80","1,323.41","1,312.69",-0.48%
25-Mar-19,"1,321.90","1,313.35","1,324.57","1,310.97",0.65%
22-Mar-19,"1,313.38","1,309.55","1,315.20","1,306.81",0.30%
21-Mar-19,"1,309.45","1,313.05","1,320.62","1,303.40",-0.23%
20-Mar-19,"1,312.48","1,305.74","1,317.03","1,298.58",0.45%
19-Mar-19,"1,306.55","1,303.60","1,311.19","1,302.50",0.22%
18-Mar-19,"1,303.70","1,302.34","1,306.89","1,298.19",0.18%
15-Mar-19,"1,301.38","1,296.15","1,306.79","1,293.82",0.39%
14-Mar-19,"1,296.28","1,309.76","1,310.53","1,292.83",-0.99%
13-Mar-19,"1,309.28","1,302.16","1,311.56","1,300.61",0.56%
12-Mar-19,"1,302.01","1,293.84","1,302.40","1,292.08",0.60%
11-Mar-19,"1,294.25","1,298.85","1,299.44","1,290.34",-0.32%
8-Mar-19,"1,298.40","1,285.78","1,300.85","1,285.18",0.98%
7-Mar-19,"1,285.74","1,286.71","1,289.10","1,281.27",-0.08%
6-Mar-19,"1,286.76","1,287.48","1,291.11","1,283.51",-0.05%
5-Mar-19,"1,287.43","1,286.67","1,289.92","1,281.10",0.06%
4-Mar-19,"1,286.67","1,293.61","1,297.35","1,282.88",-0.53%
1-Mar-19,"1,293.56","1,312.94","1,315.46","1,290.24",-1.48%
28-Feb-19,"1,313.05","1,319.87","1,327.44","1,312.41",-0.52%
27-Feb-19,"1,319.88","1,328.92","1,329.96","1,316.78",-0.68%
26-Feb-19,"1,328.96","1,327.11","1,330.40","1,323.44",0.14%
25-Feb-19,"1,327.13","1,328.89","1,332.80","1,325.15",-0.05%
22-Feb-19,"1,327.80","1,323.51","1,333.41","1,321.39",0.32%
21-Feb-19,"1,323.49","1,338.59","1,341.71","1,321.99",-1.12%
20-Feb-19,"1,338.49","1,341.24","1,347.11","1,336.79",-0.20%
19-Feb-19,"1,341.17","1,326.25","1,342.11","1,322.63",1.08%
18-Feb-19,"1,326.90","1,321.41","1,328.05","1,320.60",0.42%
15-Feb-19,"1,321.41","1,312.64","1,322.76","1,311.17",0.68%
14-Feb-19,"1,312.55","1,306.17","1,314.70","1,302.88",0.49%
13-Feb-19,"1,306.19","1,310.89","1,318.36","1,304.80",-0.36%
12-Feb-19,"1,310.90","1,308.22","1,315.10","1,306.44",0.20%
11-Feb-19,"1,308.32","1,314.55","1,315.01","1,303.69",-0.44%
8-Feb-19,"1,314.06","1,310.13","1,316.05","1,307.53",0.30%
7-Feb-19,"1,310.09","1,306.19","1,312.27","1,302.53",0.30%
6-Feb-19,"1,306.22","1,315.02","1,316.16","1,305.70",-0.67%
5-Feb-19,"1,315.02","1,311.73","1,317.13","1,310.59",0.25%
4-Feb-19,"1,311.75","1,318.13","1,319.11","1,308.50",-0.47%
1-Feb-19,"1,318.00","1,320.93","1,323.82","1,315.94",-0.22%
31-Jan-19,"1,320.94","1,319.87","1,326.65","1,317.39",0.08%
30-Jan-19,"1,319.91","1,311.95","1,323.67","1,308.81",0.61%
29-Jan-19,"1,311.93","1,303.53","1,312.34","1,302.45",0.64%
28-Jan-19,"1,303.53","1,303.82","1,304.79","1,297.54",0.02%
25-Jan-19,"1,303.22","1,280.93","1,303.78","1,279.71",1.74%
24-Jan-19,"1,280.94","1,282.42","1,285.19","1,276.79",-0.11%
23-Jan-19,"1,282.40","1,285.04","1,286.90","1,278.40",-0.21%
22-Jan-19,"1,285.04","1,279.94","1,285.84","1,277.21",0.37%
21-Jan-19,"1,280.28","1,281.64","1,283.95","1,276.58",-0.09%
18-Jan-19,"1,281.49","1,291.88","1,292.73","1,280.49",-0.81%
17-Jan-19,"1,291.90","1,293.55","1,295.62","1,288.67",-0.13%
16-Jan-19,"1,293.52","1,289.11","1,295.22","1,287.77",0.33%
15-Jan-19,"1,289.31","1,291.73","1,295.03","1,286.60",-0.19%
14-Jan-19,"1,291.73","1,287.70","1,296.21","1,287.45",0.29%
11-Jan-19,"1,288.00","1,286.30","1,295.55","1,286.01",0.13%
10-Jan-19,"1,286.38","1,293.13","1,297.47","1,285.99",-0.52%
9-Jan-19,"1,293.13","1,285.36","1,294.25","1,279.90",0.61%
8-Jan-19,"1,285.35","1,288.68","1,290.44","1,279.10",-0.26%
7-Jan-19,"1,288.67","1,286.01","1,295.42","1,282.53",0.29%
4-Jan-19,"1,284.92","1,294.04","1,298.68","1,276.66",-0.70%
3-Jan-19,"1,293.99","1,284.80","1,295.11","1,284.17",0.72%
2-Jan-19,"1,284.77","1,282.30","1,288.93","1,278.59",0.17%
1-Jan-19,"1,282.61","1,282.78","1,283.05","1,282.52",-0.02%
31-Dec-18,"1,282.82","1,280.20","1,284.34","1,277.31",0.16%
28-Dec-18,"1,280.75","1,275.23","1,282.34","1,274.19",0.43%
27-Dec-18,"1,275.22","1,266.89","1,279.30","1,266.42",0.65%
26-Dec-18,"1,266.98","1,270.75","1,279.33","1,264.56",-0.17%
24-Dec-18,"1,269.13","1,258.65","1,270.13","1,257.96",1.04%
21-Dec-18,"1,256.01","1,260.10","1,263.12","1,253.68",-0.33%
20-Dec-18,"1,260.15","1,243.40","1,266.70","1,242.70",1.35%
19-Dec-18,"1,243.40","1,249.37","1,258.44","1,241.49",-0.48%
18-Dec-18,"1,249.38","1,246.02","1,250.63","1,244.79",0.28%
17-Dec-18,"1,245.91","1,237.60","1,248.46","1,235.69",0.62%
14-Dec-18,"1,238.21","1,242.43","1,243.30","1,232.70",-0.34%
13-Dec-18,"1,242.46","1,245.69","1,247.14","1,240.05",-0.27%
12-Dec-18,"1,245.80","1,242.94","1,247.52","1,241.94",0.23%
11-Dec-18,"1,242.94","1,244.52","1,249.89","1,240.81",-0.13%
10-Dec-18,"1,244.58","1,250.76","1,250.85","1,241.47",-0.28%
7-Dec-18,"1,248.09","1,238.00","1,250.44","1,237.29",0.82%
6-Dec-18,"1,237.99","1,237.56","1,244.72","1,234.56",0.04%
5-Dec-18,"1,237.56","1,238.55","1,239.64","1,233.21",-0.08%
4-Dec-18,"1,238.55","1,231.03","1,242.22","1,230.34",0.61%
3-Dec-18,"1,231.07","1,223.19","1,235.19","1,221.22",0.75%
30-Nov-18,"1,221.96","1,223.95","1,225.95","1,216.49",-0.17%
29-Nov-18,"1,223.99","1,221.13","1,229.23","1,220.45",0.24%
28-Nov-18,"1,221.11","1,214.64","1,226.55","1,210.99",0.53%
27-Nov-18,"1,214.69","1,222.36","1,225.43","1,211.71",-0.63%
26-Nov-18,"1,222.37","1,224.04","1,228.44","1,221.45",-0.07%
23-Nov-18,"1,223.19","1,227.08","1,228.92","1,220.12",-0.35%
22-Nov-18,"1,227.45","1,226.02","1,229.45","1,224.81",0.12%
21-Nov-18,"1,226.02","1,221.53","1,230.33","1,219.52",0.37%
20-Nov-18,"1,221.55","1,224.06","1,229.04","1,219.69",-0.20%
19-Nov-18,"1,224.05","1,222.34","1,225.51","1,217.82",0.21%
16-Nov-18,"1,221.47","1,213.01","1,225.67","1,212.61",0.70%
15-Nov-18,"1,213.00","1,210.85","1,216.66","1,207.83",0.17%
14-Nov-18,"1,210.91","1,202.25","1,216.51","1,197.43",0.71%
13-Nov-18,"1,202.34","1,200.65","1,205.57","1,196.19",0.14%
12-Nov-18,"1,200.65","1,210.05","1,211.79","1,200.31",-0.74%
9-Nov-18,"1,209.59","1,223.54","1,224.09","1,206.53",-1.14%
8-Nov-18,"1,223.54","1,226.04","1,227.24","1,219.94",-0.21%
7-Nov-18,"1,226.10","1,226.92","1,236.20","1,223.13",-0.06%
6-Nov-18,"1,226.80","1,231.36","1,236.33","1,223.34",-0.37%
5-Nov-18,"1,231.30","1,233.09","1,235.32","1,226.77",-0.13%
2-Nov-18,"1,232.89","1,234.37","1,236.72","1,229.67",-0.03%
1-Nov-18,"1,233.23","1,215.24","1,237.74","1,214.69",1.54%
31-Oct-18,"1,214.54","1,223.04","1,223.50","1,211.82",-0.73%
30-Oct-18,"1,223.44","1,230.06","1,230.83","1,219.71",-0.51%
29-Oct-18,"1,229.74","1,234.15","1,235.73","1,224.31",-0.31%
26-Oct-18,"1,233.58","1,232.25","1,243.63","1,229.78",0.11%
25-Oct-18,"1,232.23","1,234.55","1,239.54","1,227.84",-0.16%
24-Oct-18,"1,234.22","1,230.52","1,234.24","1,225.42",0.30%
23-Oct-18,"1,230.48","1,222.15","1,239.94","1,221.65",0.68%
22-Oct-18,"1,222.17","1,228.06","1,229.78","1,219.95",-0.34%
19-Oct-18,"1,226.31","1,225.66","1,231.01","1,222.93",0.05%
18-Oct-18,"1,225.75","1,222.02","1,230.51","1,218.44",0.25%
17-Oct-18,"1,222.68","1,224.59","1,229.82","1,220.33",-0.14%
16-Oct-18,"1,224.43","1,227.17","1,232.71","1,223.35",-0.20%
15-Oct-18,"1,226.94","1,217.44","1,233.67","1,217.40",0.74%
12-Oct-18,"1,217.93","1,224.24","1,224.38","1,215.60",-0.52%
11-Oct-18,"1,224.33","1,194.95","1,226.51","1,191.10",2.47%
10-Oct-18,"1,194.78","1,189.66","1,194.98","1,185.13",0.43%
9-Oct-18,"1,189.62","1,188.63","1,192.19","1,183.24",0.14%
8-Oct-18,"1,188.01","1,203.15","1,204.31","1,183.57",-1.23%
5-Oct-18,"1,202.85","1,199.75","1,206.09","1,196.99",0.27%
4-Oct-18,"1,199.66","1,197.35","1,207.09","1,195.77",0.19%
3-Oct-18,"1,197.37","1,203.45","1,208.72","1,196.55",-0.48%
2-Oct-18,"1,203.10","1,188.86","1,208.52","1,188.44",1.23%
1-Oct-18,"1,188.46","1,192.19","1,192.51","1,184.46",-0.30%
28-Sep-18,"1,192.09","1,182.89","1,193.95","1,180.68",0.79%
27-Sep-18,"1,182.80","1,194.84","1,198.96","1,181.88",-0.98%
26-Sep-18,"1,194.46","1,201.23","1,202.84","1,190.41",-0.57%
25-Sep-18,"1,201.31","1,198.84","1,203.51","1,197.01",0.20%
24-Sep-18,"1,198.85","1,198.31","1,204.44","1,194.21",-0.06%
21-Sep-18,"1,199.55","1,207.48","1,211.39","1,191.76",-0.67%
20-Sep-18,"1,207.58","1,203.83","1,208.69","1,201.07",0.30%
19-Sep-18,"1,203.98","1,198.17","1,206.41","1,197.64",0.47%
18-Sep-18,"1,198.35","1,201.86","1,203.78","1,195.76",-0.21%
17-Sep-18,"1,200.93","1,193.18","1,205.17","1,192.76",0.60%
14-Sep-18,"1,193.71","1,201.76","1,208.94","1,192.93",-0.64%
13-Sep-18,"1,201.44","1,206.94","1,212.90","1,199.98",-0.39%
12-Sep-18,"1,206.19","1,198.65","1,208.85","1,192.51",0.66%
11-Sep-18,"1,198.29","1,195.43","1,199.60","1,187.57",0.20%
10-Sep-18,"1,195.88","1,195.41","1,198.72","1,191.40",0.00%
7-Sep-18,"1,195.85","1,199.97","1,203.80","1,193.19",-0.36%
6-Sep-18,"1,200.15","1,197.23","1,207.37","1,195.61",0.28%
5-Sep-18,"1,196.75","1,191.47","1,198.72","1,190.86",0.45%
4-Sep-18,"1,191.35","1,201.67","1,202.33","1,189.53",-0.82%
3-Sep-18,"1,201.15","1,200.29","1,204.20","1,195.64",0.01%
31-Aug-18,"1,201.09","1,200.58","1,209.17","1,198.42",0.10%
30-Aug-18,"1,199.88","1,206.58","1,208.05","1,196.20",-0.56%
29-Aug-18,"1,206.66","1,201.31","1,207.63","1,200.89",0.45%
28-Aug-18,"1,201.26","1,211.61","1,214.67","1,199.39",-0.83%
27-Aug-18,"1,211.34","1,206.94","1,212.63","1,202.86",0.45%
24-Aug-18,"1,205.96","1,185.41","1,208.83","1,183.12",1.74%
23-Aug-18,"1,185.31","1,195.94","1,196.84","1,183.67",-0.85%
22-Aug-18,"1,195.51","1,196.80","1,201.84","1,192.40",-0.05%
21-Aug-18,"1,196.13","1,190.61","1,197.13","1,187.47",0.47%
20-Aug-18,"1,190.53","1,183.74","1,191.26","1,182.61",0.49%
17-Aug-18,"1,184.77","1,173.73","1,185.34","1,171.82",0.90%
16-Aug-18,"1,174.16","1,175.57","1,182.25","1,160.19",-0.06%
15-Aug-18,"1,174.88","1,194.41","1,194.84","1,173.03",-1.60%
14-Aug-18,"1,194.03","1,194.19","1,198.99","1,191.99",0.03%
13-Aug-18,"1,193.64","1,211.24","1,214.07","1,191.61",-1.46%
10-Aug-18,"1,211.30","1,212.54","1,217.29","1,205.66",-0.09%
9-Aug-18,"1,212.34","1,213.94","1,217.64","1,210.64",-0.10%
8-Aug-18,"1,213.60","1,210.81","1,216.20","1,206.28",0.21%
7-Aug-18,"1,211.02","1,207.54","1,216.51","1,207.54",0.34%
6-Aug-18,"1,206.94","1,213.65","1,218.21","1,206.44",-0.53%
3-Aug-18,"1,213.43","1,208.09","1,220.38","1,204.28",0.45%
2-Aug-18,"1,207.96","1,215.46","1,221.39","1,207.03",-0.67%
1-Aug-18,"1,216.06","1,223.97","1,225.10","1,215.58",-0.64%
31-Jul-18,"1,223.83","1,221.78","1,228.52","1,214.48",0.17%
30-Jul-18,"1,221.80","1,222.96","1,225.44","1,218.86",-0.13%
27-Jul-18,"1,223.38","1,222.99","1,227.51","1,217.30",0.06%
26-Jul-18,"1,222.68","1,231.34","1,235.57","1,222.13",-0.73%
25-Jul-18,"1,231.61","1,224.34","1,234.51","1,223.02",0.58%
24-Jul-18,"1,224.55","1,224.94","1,229.76","1,218.08",0.00%
23-Jul-18,"1,224.54","1,231.55","1,235.50","1,222.07",-0.59%
20-Jul-18,"1,231.77","1,223.33","1,232.94","1,215.70",0.73%
19-Jul-18,"1,222.80","1,227.46","1,229.07","1,211.48",-0.36%
18-Jul-18,"1,227.18","1,227.47","1,229.54","1,221.07",-0.03%
17-Jul-18,"1,227.52","1,240.76","1,245.31","1,225.94",-1.07%
16-Jul-18,"1,240.82","1,241.41","1,245.90","1,238.13",-0.06%
13-Jul-18,"1,241.52","1,247.45","1,248.27","1,236.78",-0.45%
12-Jul-18,"1,247.15","1,242.14","1,248.93","1,241.23",0.40%
11-Jul-18,"1,242.16","1,255.88","1,257.10","1,241.28",-1.07%
10-Jul-18,"1,255.65","1,257.68","1,260.64","1,247.16",-0.17%
9-Jul-18,"1,257.77","1,255.13","1,266.26","1,255.02",0.22%
6-Jul-18,"1,254.98","1,257.50","1,258.96","1,252.54",-0.22%
5-Jul-18,"1,257.76","1,256.87","1,259.99","1,251.04",0.06%
4-Jul-18,"1,256.95","1,252.14","1,261.44","1,251.81",0.32%
3-Jul-18,"1,252.93","1,242.13","1,257.31","1,237.71",0.88%
2-Jul-18,"1,241.97","1,253.49","1,254.48","1,239.45",-0.88%
29-Jun-18,"1,253.00","1,247.99","1,256.04","1,246.06",0.38%
28-Jun-18,"1,248.28","1,251.96","1,254.42","1,245.67",-0.30%
27-Jun-18,"1,252.02","1,258.28","1,260.23","1,250.64",-0.55%
26-Jun-18,"1,258.98","1,266.11","1,268.04","1,254.54",-0.55%
25-Jun-18,"1,266.00","1,271.74","1,272.90","1,264.20",-0.26%
22-Jun-18,"1,269.28","1,267.30","1,271.27","1,266.48",0.16%
21-Jun-18,"1,267.20","1,268.34","1,270.47","1,261.23",-0.07%
20-Jun-18,"1,268.10","1,274.81","1,276.59","1,267.60",-0.52%
19-Jun-18,"1,274.77","1,278.56","1,284.43","1,270.28",-0.28%
18-Jun-18,"1,278.31","1,279.15","1,281.92","1,276.94",-0.12%
15-Jun-18,"1,279.84","1,302.26","1,303.33","1,275.30",-1.72%
14-Jun-18,"1,302.22","1,299.84","1,309.64","1,297.32",0.19%
13-Jun-18,"1,299.71","1,295.98","1,301.44","1,292.42",0.29%
12-Jun-18,"1,295.97","1,300.42","1,300.81","1,292.97",-0.32%
11-Jun-18,"1,300.15","1,299.40","1,302.50","1,293.96",0.11%
8-Jun-18,"1,298.75","1,297.03","1,300.93","1,293.84",0.13%
7-Jun-18,"1,297.13","1,296.98","1,303.30","1,294.87",0.01%
6-Jun-18,"1,297.00","1,296.58","1,302.10","1,293.77",0.07%
5-Jun-18,"1,296.14","1,292.34","1,300.81","1,289.77",0.32%
4-Jun-18,"1,291.98","1,293.16","1,298.26","1,290.18",-0.09%
1-Jun-18,"1,293.15","1,298.79","1,300.66","1,289.34",-0.40%
31-May-18,"1,298.32","1,301.56","1,306.69","1,297.75",-0.24%
30-May-18,"1,301.48","1,299.20","1,304.55","1,295.66",0.20%
29-May-18,"1,298.85","1,298.15","1,306.46","1,293.62",0.06%
28-May-18,"1,298.10","1,298.93","1,300.30","1,295.41",-0.27%
25-May-18,"1,301.61","1,304.42","1,307.95","1,299.81",-0.25%
24-May-18,"1,304.88","1,294.08","1,306.77","1,292.68",0.86%
23-May-18,"1,293.75","1,291.18","1,298.01","1,288.02",0.19%
22-May-18,"1,291.32","1,292.93","1,296.28","1,287.78",-0.10%
21-May-18,"1,292.68","1,290.90","1,293.38","1,282.00",0.01%
18-May-18,"1,292.50","1,290.74","1,294.44","1,286.02",0.12%
17-May-18,"1,291.00","1,290.57","1,294.59","1,285.64",0.00%
16-May-18,"1,291.03","1,289.98","1,297.13","1,286.37",0.03%
15-May-18,"1,290.65","1,313.13","1,315.06","1,288.56",-1.69%
14-May-18,"1,312.82","1,318.55","1,322.58","1,312.75",-0.41%
11-May-18,"1,318.22","1,321.44","1,326.17","1,317.63",-0.24%
10-May-18,"1,321.40","1,312.06","1,322.94","1,310.74",0.66%
9-May-18,"1,312.78","1,314.51","1,317.61","1,304.34",-0.13%
8-May-18,"1,314.47","1,313.59","1,317.86","1,305.99",0.01%
7-May-18,"1,314.30","1,315.05","1,319.08","1,310.15",-0.06%
4-May-18,"1,315.05","1,312.31","1,315.47","1,308.08",0.23%
3-May-18,"1,312.09","1,304.78","1,318.23","1,304.60",0.56%
2-May-18,"1,304.84","1,304.20","1,313.59","1,303.79",0.07%
1-May-18,"1,303.97","1,315.40","1,316.56","1,301.74",-0.87%
30-Apr-18,"1,315.35","1,322.80","1,325.17","1,310.29",-0.56%
27-Apr-18,"1,322.80","1,317.07","1,325.41","1,315.45",0.42%
26-Apr-18,"1,317.28","1,322.91","1,326.80","1,315.24",-0.46%
25-Apr-18,"1,323.33","1,330.64","1,332.26","1,318.76",-0.55%
24-Apr-18,"1,330.68","1,324.74","1,332.86","1,322.51",0.43%
23-Apr-18,"1,325.00","1,335.19","1,335.66","1,322.04",-0.76%
20-Apr-18,"1,335.13","1,346.22","1,346.47","1,334.86",-0.78%
19-Apr-18,"1,345.60","1,349.38","1,354.95","1,340.94",-0.28%
18-Apr-18,"1,349.32","1,347.53","1,355.90","1,342.07",0.15%
17-Apr-18,"1,347.29","1,345.82","1,349.61","1,337.59",0.10%
16-Apr-18,"1,345.92","1,344.60","1,350.73","1,340.07",0.03%
13-Apr-18,"1,345.46","1,335.17","1,347.31","1,335.17",0.75%
12-Apr-18,"1,335.48","1,352.68","1,353.42","1,333.74",-1.32%
11-Apr-18,"1,353.29","1,339.69","1,365.37","1,339.48",0.99%
10-Apr-18,"1,340.05","1,336.37","1,342.79","1,331.11",0.28%
9-Apr-18,"1,336.24","1,333.21","1,338.16","1,326.80",0.23%
6-Apr-18,"1,333.19","1,326.70","1,335.49","1,321.28",0.50%
5-Apr-18,"1,326.55","1,333.03","1,335.10","1,322.63",-0.51%
4-Apr-18,"1,333.34","1,332.89","1,348.27","1,331.44",0.04%
3-Apr-18,"1,332.82","1,340.86","1,342.68","1,328.93",-0.64%
2-Apr-18,"1,341.35","1,326.21","1,345.03","1,324.76",1.23%
29-Mar-18,"1,325.00","1,324.94","1,328.54","1,321.33",0.00%
28-Mar-18,"1,324.99","1,345.74","1,347.23","1,323.42",-1.47%
27-Mar-18,"1,344.71","1,353.51","1,356.87","1,339.93",-0.65%
26-Mar-18,"1,353.46","1,347.90","1,356.13","1,343.40",0.46%
23-Mar-18,"1,347.22","1,329.33","1,350.41","1,328.98",1.37%
22-Mar-18,"1,328.95","1,332.18","1,335.01","1,324.73",-0.24%
21-Mar-18,"1,332.18","1,311.20","1,336.79","1,309.80",1.60%
20-Mar-18,"1,311.21","1,317.23","1,318.48","1,307.13",-0.44%
19-Mar-18,"1,316.94","1,313.94","1,319.86","1,307.71",0.22%
16-Mar-18,"1,314.00","1,316.56","1,321.86","1,309.56",-0.17%
15-Mar-18,"1,316.26","1,324.62","1,328.06","1,314.86",-0.66%
14-Mar-18,"1,325.00","1,326.45","1,330.27","1,321.58",-0.11%
13-Mar-18,"1,326.40","1,322.90","1,328.48","1,316.55",0.25%
12-Mar-18,"1,323.05","1,323.69","1,324.52","1,315.18",-0.05%
9-Mar-18,"1,323.70","1,322.33","1,325.33","1,313.06",0.10%
8-Mar-18,"1,322.34","1,325.49","1,329.22","1,318.98",-0.24%
7-Mar-18,"1,325.54","1,334.51","1,340.68","1,322.24",-0.67%
6-Mar-18,"1,334.46","1,320.03","1,338.72","1,319.72",1.09%
5-Mar-18,"1,320.02","1,323.78","1,328.02","1,317.43",-0.17%
2-Mar-18,"1,322.20","1,316.54","1,325.65","1,315.12",0.43%
1-Mar-18,"1,316.55","1,318.22","1,321.16","1,302.76",-0.11%
28-Feb-18,"1,318.05","1,318.20","1,322.64","1,315.59",-0.01%
27-Feb-18,"1,318.20","1,333.14","1,336.90","1,313.47",-1.12%
26-Feb-18,"1,333.16","1,327.92","1,341.06","1,326.59",0.32%
23-Feb-18,"1,328.94","1,331.81","1,332.42","1,325.73",-0.19%
22-Feb-18,"1,331.51","1,323.94","1,332.34","1,320.84",0.55%
21-Feb-18,"1,324.26","1,329.48","1,336.27","1,322.36",-0.39%
20-Feb-18,"1,329.49","1,346.77","1,348.36","1,328.39",-1.28%
19-Feb-18,"1,346.69","1,347.67","1,351.34","1,345.82",-0.09%
16-Feb-18,"1,347.86","1,353.31","1,361.97","1,344.82",-0.40%
15-Feb-18,"1,353.30","1,350.78","1,357.18","1,348.41",0.19%
14-Feb-18,"1,350.76","1,329.53","1,355.57","1,319.42",1.60%
13-Feb-18,"1,329.55","1,322.29","1,330.96","1,321.39",0.50%
12-Feb-18,"1,322.88","1,315.04","1,326.20","1,314.11",0.47%
9-Feb-18,"1,316.69","1,318.87","1,322.71","1,311.06",-0.17%
8-Feb-18,"1,318.97","1,318.61","1,322.17","1,306.90",0.04%
7-Feb-18,"1,318.49","1,325.16","1,332.49","1,312.05",-0.49%
6-Feb-18,"1,325.02","1,339.68","1,346.08","1,320.04",-1.09%
5-Feb-18,"1,339.60","1,332.32","1,341.70","1,328.88",0.50%
2-Feb-18,"1,332.98","1,349.16","1,350.12","1,327.21",-1.20%
